title,channel_id,description
Mathematics Academy,UC0awSYDxX0eqJbugrdWDjWg,"Cours de mathématiques pour les cursus universitaires scientifiques produit et réalisés par Joël Chaskalovic, ..."

Wild Egg Maths,UCriFv3G22iOUidUhkIGXuhw,"This channel features world class mathematics courses for undergraduate and graduate level mathematics, hosted by Dr N J ..."

Mathematics Freaks,UCvElQT-V1cEVifwTEDYuRcA,Mathematics lessons.

Mathematics Foundation,UCdW6BAHNT_8sCa-zpYMWapQ,In this channel mathematics foundation you will learn the basic and advance concepts of mathematics in Urdu and hindi.

Math at Andrews University,UCfH0JZ7wVrJBeVUZl6vkvgw,"Andrews University is a national university in southwest Michigan, recognized for its commitment to excellent Christian education ..."

The Math Sorcerer,UCr7lmzIk63PZnBw3bezl-Mg,Math videos and all things math related. I also make videos on other things too:) Check out my courses: https://mathsorcerer.com ...

Mathematics,UCcuwJDp2u3BOTve8KlaLflg,This Channel is for all the Mathematics Lovers. I am going to make Video Lectures on Different Topics of Mathematics for the ...

CSEC Mathematics,UCFqDE93MTy6ZamJiAXGpxTw,Hi my name is Terry David from Trinidad. I'm an Electrical and Computer Engineer. I'm a Telecommunications Engineer and my ...

Hausdorff Center for Mathematics,UC2F-j2KMho0zVWIPFKWoXoA,The Hausdorff Center for Mathematics (HCM) is a cluster of excellence for mathematical research and mathematical economics at ...

mathematicsonline,UCoi8JfyjaFVzoWKzA6Gsg_A,Hello my name is Michael. I've always had this curiosity of wanting to understand how things innately came about. When I heard ...

Math with Mr. J,UCY-ywrKyfsSFF1tILNH1pNA,Math with Mr. J is a math education channel that offers instructional math videos to anyone looking for a little extra help with math!

Divine Mathematics ,UCn2msdkpufSakkuGqDM1xtw,A Channel which providing free study of Mathematics and Other subject to the students who are preparing for B.Sc II M.Sc Maths II ...

Swati Theng Mathematics,UCEA3TrdLv0vo4dRvRPk2hnQ,"Swati Theng Mathematics, here you can find video lectures on Higher Mathematics with clear concept of Mathematics and many ..."

mathematicalmonk,UCcAtD_VYwcYwVbTdvArsm7w,"Videos about math, at the graduate level or upper-level undergraduate. Tools I use to produce these videos: - Wacom Bamboo ..."

Shanti-Peace for Mathematics,UCsrZohfuXiIQpeqm8FbTUGQ,For students who want to learn mathematics.

Learn Math Tutorials,UCn2SbZWi4yTkmPUj5wnbfoA,This channel provides a growing resource of helpful math tutorials.

Mathematics Class X,UCGvBl-oqeKXuRu7uMUt6JRA,eVidyarthi.in is india's one of the fastest growing eLearning platform. We empower to create high quality courses. Now education ...

Mathematics is Fun,UCiPaY7KyDmTbA8yx9p3hUDQ,Visit us at mathsisfun.com.

DP Education - Maths,UCuxrtzuww4HxlX2svMYdR0Q,About Us Dhammika & Priscilla Foundation is a not-for-profit organization focused on providing free quality education and ...

TVOkids Mathematics,UCxNAcNMKHCXHY9dwVOElKpQ,

The How and Why of Mathematics,UCrVozefWxXC0PPs1IbiPh9w,"Mathematics isn't about following instructions and memorising rules you don't understand; it's about creativity, ingenuity, curiosity, ..."

Mathematics Class VII,UCcdlZGFCT-pJv3-SQwAQ-5Q,"CBSE Mathematics Class 7 by eVidyarthi, Mansi mam is teaching all the chapters Course from NCERT Book - Visit ..."

TIKLE'S ACADEMY OF MATHS,UCFOt62F9cFogxtHqgPnhyHA,"WELCOME TO ""TIKLES ACADEMY OF MATHS"" YOUTUBE CHANNEL. THIS CHANNEL PROVIDES COMPLETE GUIDANCE ..."

Joint Mathematics Meetings,UCKxjz1WXZOKcAh9T9CBfJoA,

Oxford Mathematics Plus,UCQaht-P4A0BO7Wm-P8OcwoA,"Oxford Mathematics second channel. Everything you love from the main Oxford Mathematics channel, PLUS livestreams, ..."

Maths Adultes,UC9Vaxx3-gWuBxt38pao4XCQ,Ensemble de cours de mathématiques destinés aux adultes qui souhaiteraient enrichir leurs connaissances dans ce domaine.

mathekaisi mathematics,UCmDau2YtJiLGhY9Nd93TJ0g,MATHekaisi ένα κανάλι μαθηματικών. Ένα κανάλι που αγαπά τη μάθηση! Είμαστε μια ομάδα που όλοι μαζί βοηθάμε τα μαθηματικά ...

University of Edinburgh School of Maths,UCR0bmsEj9dCJlrjwpoy11Pw,The School of Mathematics has an outstanding reputation in undergraduate and postgraduate education. It is also home to ...

Fantastic Math,UCaJavN3rylSr5XQOVVoYgKw,Fantastic Math provides math learning for children. We help children to build concepts and solve problems very quickly.

Stony Brook Mathematics,UCA35nGMLnRrrbpgy13nWWwQ,"The Mathematics Department, housed within Stony Brook's College of Arts and Sciences, was founded in 1958 and in recent ..."

Elementary Math with Mr. J,UCtAwJJ83P-xWuJpZf_mRpBw,"Elementary Math with Mr. J offers instructional videos that are directly aligned with elementary math standards (kindergarten math, ..."

Mathematics with Ahmed Ali,UCooS8K3iHFsxAsmspQMf5uA,قناه تعليميه الهدف منها التواصل مع الطلاب اونلاين.

Math with Dr Saeed,UCOjjhlMi0O2WSIPEn9TDZ5Q,Hello Everyone! Welcome to my Channel #MathwithDrSaeed My name is Dr Saeed and I am a lecturer in Mathematics in Lahore.

Practicle Math,UCHR7eXRBNCK9hJZ31kEQtNg,"𝗟𝗼𝘃𝗲 𝗺𝗮𝘁𝗵, 𝗲𝗻𝗷𝗼𝘆 𝗹𝗲𝗮𝗿𝗻𝗶𝗻𝗴 𝗮𝗻𝗱 𝘀𝗰𝗼𝗿𝗲 𝗯𝗲𝘁𝘁𝗲𝗿 Practicle math is the #1 Singapore math ..."

Mathematics Sections,UCuROrNyGCknJwv4CLde6-Iw,"We are Maths Tutors at Helwan University We are graduated from Faculty of Science, Math Department Here starting to taught the ..."

Mathematics Münster,UCHb7p9JJSNmN7LL3vYr1Gjg,"""Mathematics Münster: Dynamics - Geometry - Structure"" is a Cluster of Excellence at the University of Münster, Germany."

